anni,fascia
0,0-3
1,0-3
2,0-3
3,0-3
4,3-17
5,3-17
6,3-17
7,3-17
8,3-17
9,3-17
10,3-17
11,3-17
12,3-17
13,3-17
14,3-17
15,3-17
16,3-17
17,3-17
18,18-30
19,18-30
20,18-30
21,18-30
22,18-30
23,18-30
24,18-30
25,18-30
26,18-30
27,18-30
28,18-30
29,18-30
30,18-30
31,31-50
32,31-50
33,31-50
34,31-50
35,31-50
36,31-50
37,31-50
38,31-50
39,31-50
40,31-50
41,31-50
42,31-50
43,31-50
44,31-50
45,31-50
46,31-50
47,31-50
48,31-50
49,31-50
50,31-50
51,51-70
52,51-70
53,51-70
54,51-70
55,51-70
56,51-70
57,51-70
58,51-70
59,51-70
60,51-70
61,51-70
62,51-70
63,51-70
64,51-70
65,51-70
66,51-70
67,51-70
68,51-70
69,51-70
70,51-70
71,71-90
72,71-90
73,71-90
74,71-90
75,71-90
76,71-90
77,71-90
78,71-90
79,71-90
80,71-90
81,71-90
82,71-90
83,71-90
84,71-90
85,71-90
86,71-90
87,71-90
88,71-90
89,71-90
90,71-90
91,91-120
92,91-120
93,91-120
94,91-120
95,91-120
96,91-120
97,91-120
98,91-120
99,91-120
100,91-120
101,91-120
102,91-120
103,91-120
104,91-120
105,91-120
106,91-120
107,91-120
108,91-120
109,91-120
110,91-120
111,91-120
112,91-120
113,91-120
114,91-120
115,91-120
116,91-120
117,91-120
118,91-120
119,91-120
120,91-120
